Word,Frequency
touches,4
absolutely,4
was.,4
attempts,4
Salieri),4
wanted,4
way.,4
hastily,4
"ahead,",4
distress.,4
nearby,4
sick.,4
twenty,4
world.,4
lost,4
pupil,4
true?,4
curtsey.,4
lit,4
wicked,4
First,4
for?,4
"play,",4
music?,4
death!,4
speaks,4
filling,4
fall,4
post,4
"cloak,",4
tune.,4
living,4
couldn't,4
regal,4
iram!,4
"Emperor,",4
"sorry,",4
More,4
children,4
Say,4
new,4
attempt,4
walks,4
Only,4
call,4
orchestral,4
keyboard.,4
Even,4
fugue,4
Il,4
"Madame,",4
music!,4
father.,4
painted,4
totally,4
fourth,4
Any,4
Leave,4
held,4
answer,4
now?,4
finally,4
happened?,4
crowded,4
commission,4
slowly,4
arms.,4
wagon,4
bad,4
Both,4
gave,4
long.,4
tenor,4
Sire!,4
Archbishop.,4
piled,4
chair.,4
AND,4
God!,4
fire,4
excuse,4
funny,4
"willing,",4
final,4
"actresses,",4
Whoa!,4
go.,4
accompanied,4
Among,4
indicates,4
fish,4
Schikaneder),4
Three,4
we'll,4
Papageno,4
swells.,4
between,4
shit!,4
finish,4
"go,",4
Finally,4
changes,4
took,4
chairs.,4
throat,4
Him.,4
immediately.,4
Sire.,4
Director.,4
right?,4
kneeling,4
penalty.,4
Stanzi?,4
Oh?,4
"in,",4
wonderful,4
heaven,4
crying,4
dish,4
"us,",4
found,4
angry,3
K.,3
Grace,3
apartment.,3
pit,3
up!,3
offers,3
cook,3
obvious,3
troupe.,3
embrace.,3
alone!,3
OTTAVIO,3
Stanzi,3
air,3
mess,3
glockenspiel,3
wine!,3
since,3
come.,3
wait.,3
panic.,3
assure,3
ladies,3
birdie,3
strikes,3
"Finally,",3
proud,3
Serenade,3
send,3
careful!,3
(running,3
beginning,3
Viennese,3
married,3
art,3
instrument.,3
applauding,3
wedding,3
strides,3
dovey,3
devil,3
"hat,",3
Colloredo,3
(K.,3
together),3
ALL,3
husband.,3
ANDANTE,3
lovey,3
man?,3
whose,3
wonderful.,3
sweetheart,3
dare,3
mouth.,3
sound.,3
LADIES,3
dear.,3
"billing,",3
wings.,3
dwarf,3
signs,3
service,3
towards,3
bowing,3
"darling,",3
ALLEGRO,3
say.,3
Does,3
hands.,3
slips,3
bottles,3
deeply,3
steals,3
word.,3
worn,3
flown!,3
horrified.,3
finished.,3
pass,3
fades.,3
finished,3
realize,3
manuscripts.,3
"Karl,",3
"scene,",3
cast,3
things,3
neck.,3
actor,3
especially,3
passes,3
charming.,3
friends,3
actors,3
Quiet!,3
Name,3
laugh,3
Her,3
child's,3
result,3
helps,3
aware,3
daughters,3
hurries,3
stays,3
"way,",3
recommend,3
contemplates,3
pupils.,3
barking,3
used,3
Non,3
short,3
story.,3
back!,3
better.,3
feeling,3
EMMANUEL,3
in!,3
Half,3
joy.,3
GERTRUDE,3
excited.,3
girls.,3
composed,3
fine.,3
yourself.,3
talent.,3
per,3
pleasure.,3
Young,3
others,3
Italian?,3
laugh.,3
Sssh!,3
we?,3
German!,3
dogs,3
leads,3
haven't,3
astonished.,3
DUSK,3
Call,3
Martern,3
week,3
voices.,3
Seraglio,3
exceedingly,3
Pasha,3
performance,3
FLUNKY,3
sorry.,3
candles.,3
Put,3
Since,3
Death,3
pain,3
excited,3
stood,3
tender,3
smiles.,3
yawn,3
to:,3
pours,3
bitter,3
glass,3
Vogler),3
Mass.,3
absurd,3
secret.,3
amazing,3
daughters.,3
"stage,",3
"Excellency,",3
defeat,3
him),3
Ah.,3
evening.,3
anymore.,3
Director?,3
"dear,",3
hardly,3
gentle,3
Truly.,3
Oh.,3
Orsini-,3
perhaps,3
introduce,3
seems,3
"scale,",3
indeed.,3
"new,",3
stranger,3
Strack,3
Papagena,3
phrase,3
before.,3
greet,3
"niece,",3
possible.,3
raised,3
Very,3
gone,3
I.,3
"going,",3
"day,",3
Opera,3
"singing,",3
interesting,3
yes,3
Majesty's,3
meet,3
lively,3
keyboard,3
Can't,3
friend,3
hair,3
letter,3
hay.,3
Ah!,3
wife.,3
Giovanni.,3
notes.,3
string,3
joins,3
Laughter.,3
enough,3
hearing,3
mad!,3
"God,",3
feel,3
why?,3
eating,3
military,3
strange,3
tonic,3
"dominant,",3
recitativo,3
respect,3
silence.,3
signals,3
nice,3
best.,3
wishes,3
tray.,3
(bowing),3
stew!,3
Figaro's,3
will.,3
today?,3
entire,3
violent,3
began,3
marching,3
hatred,3
finishes,3
courtiers,3
rain,3
"Bravo,",3
"rises,",3
scene.,3
Karl's,3
all!,3
You!,3
wine.,3
harm,3
earth,3
He'd,3
death.,3
up),3
"Man,",3
giving,3
theatre.,3
sister,3
helped,3
wrong,3
fun.,3
play.,3
Cross.,3
shown,3
march.,3
daughter,3
tears,3
including,3
SHOP,3
extravagant,3
candle,3
mirror.,3
"selfish,",3
ROYAL,3
Go!,3
serve,3
Swieten,3
fly,3
out!,3
Good.,3
trick,3
honour.,3
produces,3
charming,3
"Now,",3
Quite,3
with!,3
sir!,3
"out,",3
hears,3
emerges,3
DINING,3
Well?,3
Five,3
shut,3
flames,3
giggling,3
song,3
catches,3
can.,3
thinks,3
open.,3
boy.,3
sein,3
paying,3
(taking,3
Grace.,3
wrote,3
we're,3
aid,3
"black,",3
"soundtrack,",3
"beginning,",3
idea,3
shakes,3
mythological,3
Two,3
enthusiasm.,3
"Schikaneder,",3
close,3
things.,3
elaborate,3
hour,3
killed,3
deepest,3
Could,3
marvelous?,3
ORNAMENTAL,3
death,3
mind.,3
manner,3
protect,3
fifteen,3
Wohl,3
prayed,3
ten,3
Cook,3
confess!,3
knees.,3
hair.,3
about.,3
Majordomo,3
GARDEN,3
various,3
celebrated,3
is?,3
hums,3
astonished,3
calling,3
loves,3
"floor,",3
"old,",3
spend,3
return,3
bear,3
vow,3
ridiculous.,3
everything.,3
am?,3
bring,3
drag,3
everyone,3
background.,3
laughter,3
carried,3
costumes.,3
early,3
work?,3
there's,3
orchestra.,3
fifty,3
contains,3
words,3
chairs,3
save,3
guests.,3
clothes.,3
tall,3
DOCTOR,3
musician,3
patients,3
builds,3
"work,",3
somewhat,3
"But,",3
"priest,",3
walking,3
Inside,3
Lacrimosa,3
hours,3
Doctor,3
Gulden,3
came,3
"musicians,",3
costumes,3
"once,",3
mask.,3
talent,3
flies,3
be?,3
times,3
respectfully.,3
pushed,3
smile.,3
run,3
follows,3
Grand,3
sight,3
Saremo,3
Standing,3
life,3
later,3
WORKROOM,3
"salon,",3
to.,3
Medal,3
arranged,3
Civilian,3
Confutatis,3
age,3
laughing,3
glimpse,3
tables,3
priest,3
"Vienna,",3
city,3
taken,3
good!,3
General,3
do!,3
"house,",3
Italian.,3
"Leopold,",3
listening,3
Voca,3
game,3
grabs,3
there.,3
lantern,3
snuff,3
evidently,3
presents,3
banned,3
bare,3
whilst,3
CHURCH,3
all?,3
cross,3
COUNTRY,3
man's,3
Italy,3
roll,3
Chamberlain,3
below,3
By,3
idiot,3
wide,3
anyway.,3
"father,",3
landing.,3
admit,3
hesitates.,3
Dinner,3
weird,3
biscuits.,3
assassin!,3
accompaniment.,3
Piano,3
hear.,3
lie,3
removes,3
Leopold.,3
mad.,3
French,3
sorry!,3
serious.,3
occasionally,3
point,3
dead,3
knocks,3
climb,3
"game,",3
"door,",3
We've,3
furiously,3
fiend.,3
Silence.,3
person,3
home.,3
eat.,3
bystanders,3
ostinato.,3
ostinato,3
gently,3
touch,2
taught,2
WINTER,2
lid,2
pen,2
(he,2
today.,2
corridor.,2
whether,2
Salieri?,2
Someone,2
olivewood,2
triumph,2
deserved,2
dead?,2
expertly.,2
Sire?,2
drink.,2
keys,2
known,2
TO,2
congratulations,2
Chain,2
excellent,2
EMPEROR,2
wife?,2
ends,2
feather.,2
Beside,2
hundred?,2
within,2
enters:,2
tried,2
About,2
GUESTS,2
frightened.,2
"Mother,",2
Bene.,2
"others,",2
ignore,2
Really,2
except,2
fellow.,2
dear!,2
Vogler.,2
pride.,2
gather,2
ducats.,2
DRESSING,2
passengers.,2
situation.,2
CAVALIERI'S,2
Cavalieri.,2
"very,",2
accept?,2
else.,2
linen,2
"forty,",2
"mind,",2
embarrassment.,2
humbly.,2
corridor,2
bang,2
add,2
phrase.,2
imagine.,2
Wouldn't,2
harder,2
CUT:,2
GULDEN,2
"alone,",2
masked,2
--,2
"Vogler,",2
honour!,2
"and,",2
giggling.,2
Masonic,2
amused,2
curtsies.,2
hall,2
news.,2
"phrase,",2
sheets,2
receive,2
entirely,2
Axur:,2
perfect.,2
fixed,2
Chaplain,2
"introduction,",2
distinguished,2
visited,2
increasing,2
"dogs,",2
do?,2
one's,2
financial,2
name.,2
ROAD,2
practically,2
MICHAEL,2
plumed,2
able,2
opposite,2
"chairs,",2
written.,2
"merchant,",2
"candles,",2
body,2
prone,2
pages.,2
instead.,2
daughter.,2
brings,2
Over,2
Ormus.,2
window.,2
dreadful,2
"Father,",2
"fades,",2
Nachtmusik.,2
singer,2
ITALY,2
concern,2
none,2
moments,2
taste.,2
hire,2
Amadeus,2
compel,2
Bind,2
woe.,2
SMALL,2
reply.,2
singing.,2
rapturous,2
Money!,2
accuse,2
Kleine,2
30,2
means.,2
distracted,2
enormous,2
maid.,2
"blindfolded,",2
minutes,2
like?,2
Looks,2
"theatre,",2
successful.,2
operas,2
thing?,2
twelve,2
Eine,2
"determined,",2
daughter?,2
working?,2
eight,2
Arten,2
most.,2
scorn,2
eagerly,2
scribbling.,2
mood,2
"manner,",2
extreme,2
drink?,2
"face,",2
Applause.,2
joking.,2
Twenty,2
DISSOLVE,2
